year,country,artist,song
2018,Croatia,Franka,Crazy
2018,Montenegro,Vanja Radovanović,Inje
2018,San Marino,Jessika feat. Jenifer Brening,Who We Are
2018,Georgia,Ethno,Jazz Band Iriao
2018,North Macedonia,Eye Cue,Lost And Found
2018,Iceland,Ari Ólafsson,Our Choice
2019,Netherlands,Duncan Laurence,Arcade
2019,Italy,Mahmood,Soldi
2019,Russia,Sergey Lazarev,Scream
2019,Switzerland,Luca Hänni,She Got Me
2019,Sweden,John Lundvik,Too Late for Love
2019,Norway,KEiiNO,Spirit in the Sky
2019,North Macedonia,Tamara Todevska,Proud
2019,Azerbaijan,Chingiz,Truth
2019,Australia,Kate Miller,Heidke
2019,Iceland,Hatari,Hatrið mun sigra
2019,Czechia,Lake Malawi,Friend of a Friend
2019,Denmark,Leonora,Love is Forever
2019,Cyprus,Tamta,Replay
2019,Malta,Michela,Chameleon
2019,Slovenia,Zala Kralj & Gašper Šantl,Sebi
2019,France,Bilal Hassani,Roi
2019,Albania,Jonida Maliqi,Ktheju Tokës
2019,Serbia,Nevena Božović,Kruna
2019,San Marino,Serhat,Say Na Na Na
2019,Estonia,Victor Crone,Storm
2019,Greece,Katerine Duska,Better Love
2019,Spain,Miki,La Venda
2019,Israel,Kobi Marimi,Home
2019,Belarus,Zena,Like It
2019,Germany,S!sters,Sister
2019,United Kingdom,Michael Rice,Bigger Than Us
2019,Poland,Tulia,Pali się
2019,Hungary,Joci Pápai,Az én apám
2019,Lithuania,Jurij Veklenko,Run with the Lions
2019,Moldova,Anna Odobescu,Stay
2019,Belgium,Eliot,Wake Up
2019,Romania,Ester Peony,On a Sunday
2019,Georgia,Oto Nemsadze,Keep on Going
2019,Croatia,Roko,The Dream
2019,Portugal,Conan Osíris,Telemóveis
2019,Latvia,Carousel,That Night
2019,Armenia,Srbuk,Walking Out
2019,Montenegro,D mol,Heaven
2019,Finland,Darude feat. Sebastian Rejman,Look Away
2019,Austria,Pænda,Limits
2019,Ireland,Sarah McTernan,22
2020,Albania,Arilena Ara,Fall From The Sky
2020,Armenia,Athena Manoukian,Chains On You
2020,Australia,Montaigne,Don't Break Me
2020,Austria,Vincent Bueno,Alive
2020,Azerbaijan,Efendi,Cleopatra
2020,Belarus,VAL,Da vidna
2020,Belgium,Hooverphonic,Release Me
2020,Bulgaria,Victoria,Tears Getting Sober
2020,Croatia,Damir Kedžo,Divlji vjetre
2020,Cyprus,Sandro,Running
2020,Czechia,Benny Cristo,Kemama
2020,Denmark,Ben & Tan,Yes
2020,Estonia,Uku Suviste,What Love Is
2020,Finland,Aksel,Looking Back
2020,France,Tom Leeb,The Best in Me
2020,Georgia,Tornike Kipiani,Take Me As I Am
2020,Germany,Ben Dolic,Violent Thing
2020,Greece,Stefania,Superg!rl​
2020,Iceland,Daði & Gagnamagnið,Think About Things
2020,Ireland,Lesley Roy,Story Of My Life
2020,Israel,Eden Alene,Feker Libi
2020,Italy,Diodato,Fai rumore
2020,Latvia,Samanta Tīna,Still Breathing
2020,Lithuania,The Roop,On Fire
2020,Malta,Destiny,All Of My Love
2020,Moldova,Natalia Gordienko,Prison
2020,Netherlands,Jeangu Macrooy,Grow
2020,North Macedonia,Vasil,You
2020,Norway,Ulrikke,Attention
2020,Poland,Alicja,Empires
2020,Portugal,Elisa,Medo de sentir
2020,Romania,Roxen,Alcohol You
2020,Russia,Little Big,Uno
2020,San Marino,Senhit,Freaky!
2020,Serbia,Hurricane,Hasta La Vista
2020,Slovenia,Ana Soklič,Voda
2020,Spain,Blas Cantó,Universo
2020,Sweden,The Mamas,Move
2020,Switzerland,Gjon's Tears,Répondez
2020,Ukraine,Go_A,Solovey
2020,United Kingdom,James Newman,My Last Breath
2021,Italy,Måneskin,Zitti e buoni
