year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url
2000,no,Norway,Boom,My Heart Goes  Charmed,11,,8,,11,57,,,,,,,Morten Henriksen;Tore Madsen,,"My Heart Goes Boom\n\nWooh!\n\nSummer, Saturday and sunshine, suddenly, I saw you there\nA stunning sight from God knows where\nYou were standing in the shadows, looking quite impossible\nI lost my mind and popsicle\n\nA radio was singing\nSomething blue in perfect tune\nHalf a look over your shoulder\nI couldn't keep from staring back at you\n\nMy heart goes boom when I see you, baby\nDon't you tell me maybe, it can never be too soon\nMy heart goes boom, put your arms around me\nSay you're glad you found me, take me spinning round the moon\nMy heart goes boom\n\nSummer, Saturday, and sunset, you said hello and I said hi\nAnd something lit the evening sky\nYou came out of the shadows with a teasing twinkle in your eye\nAnd took my senses for a ride\n\nA radio was playing\nSomething slow in perfect tune\nHalf a smile as you sat down\nI couldn't seem to keep my eyes off you\n\nMy heart goes boom when I see you, baby\nDon't you tell me maybe, it can never be too soon\nMy heart goes boom, put your arms around me\nSay you're glad you found me, take me spinning round the moon\n(My heart goes boom)\n\nA radio was singing\nSomething blue in perfect tune\nHalf a look over your shoulder\nI couldn't seem to keep my eyes off you\n\nMy heart goes…\nMy heart goes boom when I see you, baby\nDon't you tell me maybe, it can never be too soon\nMy heart goes boom, put your arms around me\nSay you're glad you found me, take me spinning round the moon\nMy heart goes boom\n\nOh baby, my heаrt goeѕ boom",https://youtube.com/watch?v=b1vK77bk2HM
2000,is,Iceland,Me!,Tell  August & Telma,12,,12,,12,45,,,,,,,Örlygur Smári,Örlygur Smári;Sigurður Örn Jónsson,"Tell Me!\n\nWith you in my life, it's destined to be right\nAnd I know that it's true, girl, I was only made for you\nSo why don't we make the pieces fit and pack our bags tonight?\nAnd go wherever love will take us, we'll make it all right\n\nTell me, tell me, tell me once, tell me twice\nTell me there is no compromise\nWe'll be together all the time\nSo say you will be mine\n\nOo… with you by my side, I'm on a rollercoaster-ride\nAnd I know that it's true - boy, I was only made for you\nListen to me now, you've got to give me a sign\n'Cause I can't wait here any longer, make up your mind\n\nTell me, tell me, tell me once, tell me twice\nTell me there is no compromise\nWe'll be together all the time\n\nTell me, tell me, tell me once, tell me twice\nTell me there is no compromise\nWe'll be together all the time\nSo say you will be mine\n\nIf you only knew all that we could do\nWe'd be together all alone, you and me\nLike we were always meant to be\n\nOh… I don't know if it's fact or fiction\nBut I'm sure we'll make the right decision\nLook into my eyes now, baby, give it all you've got\n\nTell me, tell me, tell me once, tell me twice\nTell me there is no compromise\nWe'll be together all the time\n\nTell me, tell it to me once, tell me twice\nTell me there is no compromiѕe\nWe'll be together аll the time",https://youtube.com/watch?v=cNHsRP9_VxQ
2000,nl,Netherlands,Goodbyes,No  Linda Wagenmakers,13,,2,,13,40,,,,,,,John O'Hare,Ellert Driessen,"No Goodbyes\n\nDon't you know what you are doing to me?\nThis ain't the way to work things out\nTell me something that I've never heard before\nWe gotta get off this crazy roundabout\n\nNo more doubting, no more fears\nNo more cheating, no more tears\nNo more questions, no more lies\nNo farewells, no goodbyes\nNo goodbyes\n\nI don't understand why you keep saying:\n""Oh, everything's just fine, there's nothing wrong""\nSomething's been happening that we cannot ignore\nIt's time for us to sing a different song\n\nNo more doubting, no more fears\nNo more cheating, no more tears\nNo more questions, no more lies\nNo farewells, no goodbyes\nNo goodbyes\n\nOh, don't say anything you'll wish you hadn't said\nJust say nothing at all (say nothing at all)\n'Cause I know love will grow when you go\nDon't say goodbye, oh no\n\nDon't say goodbye, no goodbyes\n(No goodbyes)\nDon't say anything you'll wish you hadn't said, my baby\n(No goodbyes)\nOh no, oh no, no\n\n(Yeah…)\nNo fаrewells, no goodbyeѕ",https://youtube.com/watch?v=sHXZwI1nq-Q
2000,at,Austria,You,All To  The Rounder Girls,14,,24,,14,34,,,,,,,Dave Moskin,,"All To You\n\nI never was the one to carry on\nBut everything is different since you came along\nIn the middle of something special, I never felt this way before\nNow I need a little time to understand a little more\n\nI can't explain the way you made me feel (Made me feel)\nOr the moment that my heart began to reel (Reel)\nYou took me in a new direction, you're showin' me a different way (Different way)\nNow I'm in a situation, I will be the one to say\n\nWhy don't you take me, my baby\nHold me for all time and never leave me, believe me\nLet me be your one and only\nLove me like you do and let me give my lovin' all to you\nOh yeah…\n\nNow I know it's love, and that's a fact (That's a fact)\nNo return, there is no goin' back (No, no, no, no)\nIt might be the way you make me crazy, you always take my breath away\nAnd now there's only one thing, baby, that there's left for me to say\n\nWhy don't you take me, my baby\nHold me for all time and never leave me, believe me\nI will always be by your side\nAlways on my mind, my baby, take me\n\nAnd everything I feel is from the bottom of my heart (Yeah…)\nI'll give you everything I have, I'll give you what you never had\n\nWhy don't you take me, my baby\nHold me for all time and never leave me, believe me\nI will always be by your side\nAlways on my mind, you take what's wrong and make it right\n\nI really need you, to feel you\nWrap me in your arms, surround me sweetly, completely\nLet me be your one and only\nLove me like you do, juѕt let me give my lovin' all to you\n\nLet me give my lovin' аll to you",https://youtube.com/watch?v=iyWc9NAxWR4
2000,mk,North MacedoniaN.Macedonia,ljubam,100% te  XXL,15,,19,,15,29,,,,,,,Dragan Karanfilovski,Orče Zafirovski;Vlado Janevski,"100% te ljubam\n\nSto posto te ljubam, sto posto e da\nA nadež da gubam jas nemam namera\nSto posto te ljubam, sto posto e da\nI pak kje ti rečam da jas sum uporna\n\nSto posto te ljubam, sto posto e da\nA nadež da gubam jas nemam namera\nSto posto te ljubam, sto posto e da\nI pak kje ti rečam da jas sum uporna\n\nKo bajadera sladok e, sladok e, sladok žimi se\nA koga kje te pogledne, dali e slučajno il' ne?\nVečerva kje go osvojam, na uvce kje mu došepnam\nZa da go potsetam\n\nNe, nemoj da zaboraviš, na dzidot pokraj krevetot\nSlika od vesnikot da isečeš i da me uramiš\nI nemoj da zaboraviš večerva da me sonuvaš\n\nSto posto te ljubam, sto posto e da\nA nadež da gubam jas nemam namera\nSto posto te ljubam, sto posto e da\nI pak kje ti rečam da jas sum uporna\n\nSto posto te ljubam, sto posto e da\nA nadež da gubam jas nemam namera\nSto posto te ljubam, sto posto e da\nI pak kje ti rečam da jas sum uporna\n\nOoh la la la…\n\nNe, nemoj da zaboraviš, na dzidot pokraj krevetot\nSlika od vesnikot da isečeš i da me uramiš\nI nemoj da zaboraviš večerva da me sonuvaš\n\nSto posto te ljubam, sto posto e da\nA nadež da gubam jas nemam namera\nSto posto te ljubam, sto posto e da\nI pak kje ti rečam da jas sum uporna\n\nI love you one hundred percent, yes, I do\nAnd I often wonder if you would love me too\nI love you one hundred percent, yes, I do\nAnd I'll make you see that this heart of mine is true\nAnd I'll make you see that this heаrt of mine is true\n\nI love you one hundred percent, yeѕ, I do",https://youtube.com/watch?v=8QPFSn83Jdk
2000,gb,United Kingdom,Again,Don't Play That Song  Nicki French,16,,3,,16,28,,,,,,,Gerry Shephard;John Springate,,"Don't Play That Song Again\n\nOnce I had a dream\nI thought we had everything\nLiving such a perfect life\nWe had it all\nAnd our love took flight\nDeep into the night\n\nNow I'm alone again\nBut I'm… I'm gonna be strong\nAnd the tears that I have cried\nYou'll never see\nOh… but crying in vain was never for me\n\nDon't play that song again\nReminding me of how it used to be\nDon't play that song again\nI wish it could be like before\nWhen you were here with me, oh yeah\nOh deejay, please don't play\nDon't play that song again (song again)\n\nTime, time changes everything\nAnd that's what they say\nBut it's too late for regrets\nWhen all's said and done\nIt just wasn't meant to be\nNow I'm the lonely one\n\nDon't play that song again\nReminding me of how it used to be\nDon't play that song again\nI wish it could be like before\nWhen you were here with me, oh yeah\nOh deejay, please don't play\nDon't play that song again\n\nDon't play that song again\nReminding me of how it used to be\nDon't play that song again\nI wish it could be like before\nWhen you were here with me, oh yeah\nOh deejay, please don't play\nDon't play that song again (song again)\n\nNo… oh deejay, please don't play\nDon't play that song again\nThat song again\nDon't play that ѕong agаin…",https://youtube.com/watch?v=HgtLmiZJUC4
2000,ro,Romania,Moon,The  Taxi,17,,6,,17,25,,,,,,,Dan Teodorescu,,"The Moon\n\nI knew it all from the start\nI knew you'll rise above my world, a little sun warming my heart\nI betrayed myself, I knew I lied\nYou've searched into my soul to find love\nAnd found me hiding deep inside\nYou did see a way to set me free\n\nNow I hear when the wind is playing with the stars of my night\nSimply 'cause I have you near\nNow I feel when the moon is playing on and on and on with my heart\nSimply 'cause your love is real\nOh…\n\nI knew it all, I understood\nI simply blinked and let the light give me reasons to be good\nYou did see a way to set me free\n\nNow I hear when the wind is playing with the stars of my night\nSimply 'cause I have you near\nNow I feel when the moon is playing on and on and on with my heart\nSimply 'cause your love is real\nOh…\n\nYes, I feel when the moon is playing\nOh…\n\nNow I hear how the wind is playing with the stars of my night\nSimply 'cause I have you near\nNow I feel when the moon is playing on and on and on with my heart\nSimply 'cause your love iѕ reаl\nOh…",https://youtube.com/watch?v=GdUaK3KHN4E
2000,es,Spain,sueño,Colgado de un  Serafín Zubiri,18,,13,,18,18,,,,,,,José María Purón,,Colgado de un sueño\n\nColgado de un sueño\nEn lo alto del cielo intento vivir\nEl mundo a lo lejos\nParece pequeño visto desde aquí\nQué me importa que se diga de mí\nQue no tengo los pies en el suelo\nNo saben que vuelo en vez de dormir\n\nAquí no hay límites a mis deseos\nNada me pueden prohibir\nNavego libre por mis pensamientos\nQué no me bajen de aquí\nAquí hay espacio para mis anhelos\nTodo se puede cumplir\nQue no me obliguen a pisar el suelo\nQue sólo quiero seguir\nColgado de un sueño\n\nFlotando en el aire sin miedo a caer\nQue el mundo es pequeño\nY todas mis ansias no caben en él\nQué me importa que se diga de mí\nQue no tengo los pies en el suelo\nColgado en mi sueño consigo vivir\n\nAquí no hay límites a mis deseos\nNada me pueden prohibir\nNavego libre por mis pensamientos\nQué no me bajen de aquí\nAquí hay espacio para mis anhelos\nTodo se puede cumplir\nQue no me obliguen a pisar el suelo\nQue sólo quiero seguir\nColgado de un sueño\nColgado de un sueño\nColgаdo de un ѕueño,https://youtube.com/watch?v=UulDX2lWHJw
2000,fi,Finland,Bit,A Little  Nina Åström,18,,20,,18,18,,,,,,,Luca Genta,Gerrit aan 't Goor,"A little bit\n\nI'm in love with the place where I was born\nWhere I lived my life in harmony with every new dawn\nI'm in love with the people that I know\nWith whom I share my tears of laughter, the times I feel low\n\nIt's a little bit of love, it's a little love I need\nTo keep me going, keep me smiling\nIt's love that makes me breathe\nIt may be Finland, France or Spain\nBerlin, Prague or Rome\nIt's the place where you live\nWhere your heart feels at home\n\nThere's a world that is bigger than my own\nWhere they strive to try and unify, to dull monotone\nEvery change that really matters comes from within\nWhen in love we stand together through thick and thin\n\nIt's a little bit of love, it's a little love we need\nTo keep us going, keep us smiling\nIt's love that makes us breathe\nIt may be Amsterdam or Bern\nSweden or U.K.\nWhere your heart is at home\nYou will feel okay\n\n(It's a little bit of love), it's a little love we need\nTo keep us going, keep us smiling\nIt's love that makes us breathe\nIt's a little bit of love, it's a little love we need\nTo keep us going, keep us smiling\nIt is love that makes us breathe\n\nTo keep us going, keep us smiling\nIt is love that makes uѕ breаthe",https://youtube.com/watch?v=Bmf0NRo5-AE
2000,ch,Switzerland,cos'è?,La vita  Jane Bogaert,20,,16,,20,14,,,,,,,Bernie Staub;Brigitte Schöb,Thomas Marin,"La vita cos'è?\n\nMi sveglio al mattino\nIl caffè ancora caldo di ieri\nLa pioggia sulla finestra\nChe legge nei miei pensieri\n\nMi chiedo dove sei amore lontano\nIl telefono non ha suonato\nQuel tuo sorriso mi fa impazzire\nNon posso più aspettare\n\nSo che non era facile, il cuore mio così fragile\nSi accende in un momento e vola via con il vento\nMi sento una piccola onda nel mare, azzurro dell'amore\nAdesso nei miei giorni ci sei tu\n\nLa vita cos'è? La vita dov'è?\nUna spina nel cuore che mi crea dolore\nSe tu non ci sei\n\nLa vita dov'è? La vita cos'è?\nUn palco d'amore ma l'applauso non c'é\nSe tu non ci sei\n\nDividi con me il mondo, fammi vivere ogni giorno\nPer restare accesa come la luce di una stella\nVivere un amore nel cielo, non c'è una cosa più bella\nStringimi più forte, baciami\n\nLa vita cos'è? La vita dov'è?\nUna spina nel cuore che mi crea dolore\nSe tu non ci sei\n\nLa vita dov'è? La vita cos'è?\nUn palco d'amore ma l'applаuso non c'é\nSe tu non ci sei\n\nSe tu non ci ѕei",https://youtube.com/watch?v=1_zIxfrknKU
